model,display_name,condition,class_id,accuracy,clean_accuracy,accuracy_drop,n_samples,flip_rate,lost_clean_correct,gained_from_clean_wrong
ce_only,CE-only,clean,0,0.9885714285714285,0.9885714285714285,0.0,700,0.0,0,0
ce_only,CE-only,clean,1,0.9942857142857143,0.9942857142857143,0.0,700,0.0,0,0
ce_only,CE-only,clean,2,0.9928571428571429,0.9928571428571429,0.0,700,0.0,0,0
ce_only,CE-only,clean,3,0.9957142857142857,0.9957142857142857,0.0,700,0.0,0,0
ce_only,CE-only,clean,4,0.9571428571428572,0.9571428571428572,0.0,700,0.0,0,0
ce_only,CE-only,clean,5,0.9985714285714286,0.9985714285714286,0.0,700,0.0,0,0
ce_only,CE-only,clean,6,0.9885714285714285,0.9885714285714285,0.0,700,0.0,0,0
ce_only,CE-only,clean,7,0.9628571428571429,0.9628571428571429,0.0,700,0.0,0,0
ce_only,CE-only,clean,8,0.9957142857142857,0.9957142857142857,0.0,700,0.0,0,0
ce_only,CE-only,clean,9,0.9871428571428571,0.9871428571428571,0.0,700,0.0,0,0
ce_only,CE-only,jpg70,0,0.9885714285714285,0.9885714285714285,0.0,700,0.002857142857142857,1,1
ce_only,CE-only,jpg70,1,0.9957142857142857,0.9942857142857143,-0.0014285714285713347,700,0.0014285714285714286,0,1
ce_only,CE-only,jpg70,2,0.99,0.9928571428571429,0.0028571428571428914,700,0.002857142857142857,2,0
ce_only,CE-only,jpg70,3,0.99,0.9957142857142857,0.005714285714285672,700,0.005714285714285714,4,0
ce_only,CE-only,jpg70,4,0.9514285714285714,0.9571428571428572,0.005714285714285783,700,0.01,5,1
ce_only,CE-only,jpg70,5,0.9957142857142857,0.9985714285714286,0.0028571428571428914,700,0.002857142857142857,2,0
ce_only,CE-only,jpg70,6,0.9942857142857143,0.9885714285714285,-0.005714285714285783,700,0.011428571428571429,2,6
ce_only,CE-only,jpg70,7,0.8257142857142857,0.9628571428571429,0.13714285714285712,700,0.14,96,0
ce_only,CE-only,jpg70,8,0.9914285714285714,0.9957142857142857,0.004285714285714226,700,0.004285714285714286,3,0
ce_only,CE-only,jpg70,9,0.9742857142857143,0.9871428571428571,0.01285714285714279,700,0.014285714285714285,9,0
ce_only,CE-only,blur12,0,0.9742857142857143,0.9885714285714285,0.014285714285714235,700,0.017142857142857144,11,1
ce_only,CE-only,blur12,1,0.9942857142857143,0.9942857142857143,0.0,700,0.002857142857142857,1,1
ce_only,CE-only,blur12,2,0.9885714285714285,0.9928571428571429,0.004285714285714337,700,0.007142857142857143,4,1
ce_only,CE-only,blur12,3,0.9942857142857143,0.9957142857142857,0.0014285714285713347,700,0.0014285714285714286,1,0
ce_only,CE-only,blur12,4,0.9657142857142857,0.9571428571428572,-0.008571428571428563,700,0.022857142857142857,4,10
ce_only,CE-only,blur12,5,0.9971428571428571,0.9985714285714286,0.0014285714285714457,700,0.004285714285714286,2,1
ce_only,CE-only,blur12,6,0.9857142857142858,0.9885714285714285,0.0028571428571427804,700,0.011428571428571429,5,3
ce_only,CE-only,blur12,7,0.9342857142857143,0.9628571428571429,0.02857142857142858,700,0.037142857142857144,22,2
ce_only,CE-only,blur12,8,0.98,0.9957142857142857,0.01571428571428568,700,0.015714285714285715,11,0
ce_only,CE-only,blur12,9,0.9614285714285714,0.9871428571428571,0.02571428571428569,700,0.025714285714285714,18,0
ce_only,CE-only,down50,0,0.9828571428571429,0.9885714285714285,0.005714285714285672,700,0.008571428571428572,5,1
ce_only,CE-only,down50,1,0.9942857142857143,0.9942857142857143,0.0,700,0.002857142857142857,1,1
ce_only,CE-only,down50,2,0.9914285714285714,0.9928571428571429,0.0014285714285714457,700,0.004285714285714286,2,1
ce_only,CE-only,down50,3,0.9942857142857143,0.9957142857142857,0.0014285714285713347,700,0.0014285714285714286,1,0
ce_only,CE-only,down50,4,0.9657142857142857,0.9571428571428572,-0.008571428571428563,700,0.02,3,9
ce_only,CE-only,down50,5,0.9985714285714286,0.9985714285714286,0.0,700,0.002857142857142857,1,1
ce_only,CE-only,down50,6,0.99,0.9885714285714285,-0.0014285714285714457,700,0.007142857142857143,2,3
ce_only,CE-only,down50,7,0.9442857142857143,0.9628571428571429,0.018571428571428572,700,0.022857142857142857,14,1
ce_only,CE-only,down50,8,0.9942857142857143,0.9957142857142857,0.0014285714285713347,700,0.0014285714285714286,1,0
ce_only,CE-only,down50,9,0.9714285714285714,0.9871428571428571,0.01571428571428568,700,0.015714285714285715,11,0
ce_only,CE-only,crop80,0,0.9742857142857143,0.9885714285714285,0.014285714285714235,700,0.014285714285714285,10,0
ce_only,CE-only,crop80,1,0.99,0.9942857142857143,0.004285714285714337,700,0.007142857142857143,4,1
ce_only,CE-only,crop80,2,0.9857142857142858,0.9928571428571429,0.0071428571428571175,700,0.01,6,1
ce_only,CE-only,crop80,3,1.0,0.9957142857142857,-0.004285714285714337,700,0.004285714285714286,0,3
ce_only,CE-only,crop80,4,0.99,0.9571428571428572,-0.03285714285714281,700,0.03571428571428571,1,24
ce_only,CE-only,crop80,5,0.9828571428571429,0.9985714285714286,0.01571428571428568,700,0.015714285714285715,11,0
ce_only,CE-only,crop80,6,0.9757142857142858,0.9885714285714285,0.01285714285714279,700,0.024285714285714285,13,4
ce_only,CE-only,crop80,7,0.9771428571428571,0.9628571428571429,-0.014285714285714235,700,0.02857142857142857,5,15
ce_only,CE-only,crop80,8,0.9971428571428571,0.9957142857142857,-0.0014285714285714457,700,0.004285714285714286,1,2
ce_only,CE-only,crop80,9,0.9614285714285714,0.9871428571428571,0.02571428571428569,700,0.03142857142857143,20,2
arcface_only,ArcFace-only,clean,0,0.9971428571428571,0.9971428571428571,0.0,700,0.0,0,0
arcface_only,ArcFace-only,clean,1,0.9957142857142857,0.9957142857142857,0.0,700,0.0,0,0
arcface_only,ArcFace-only,clean,2,0.9957142857142857,0.9957142857142857,0.0,700,0.0,0,0
arcface_only,ArcFace-only,clean,3,1.0,1.0,0.0,700,0.0,0,0
arcface_only,ArcFace-only,clean,4,0.9757142857142858,0.9757142857142858,0.0,700,0.0,0,0
arcface_only,ArcFace-only,clean,5,1.0,1.0,0.0,700,0.0,0,0
arcface_only,ArcFace-only,clean,6,0.9842857142857143,0.9842857142857143,0.0,700,0.0,0,0
arcface_only,ArcFace-only,clean,7,0.9657142857142857,0.9657142857142857,0.0,700,0.0,0,0
arcface_only,ArcFace-only,clean,8,0.9971428571428571,0.9971428571428571,0.0,700,0.0,0,0
arcface_only,ArcFace-only,clean,9,0.9871428571428571,0.9871428571428571,0.0,700,0.0,0,0
arcface_only,ArcFace-only,jpg70,0,0.9971428571428571,0.9971428571428571,0.0,700,0.0,0,0
arcface_only,ArcFace-only,jpg70,1,0.9957142857142857,0.9957142857142857,0.0,700,0.0,0,0
arcface_only,ArcFace-only,jpg70,2,0.99,0.9957142857142857,0.005714285714285672,700,0.007142857142857143,4,0
arcface_only,ArcFace-only,jpg70,3,0.9985714285714286,1.0,0.0014285714285714457,700,0.0014285714285714286,1,0
arcface_only,ArcFace-only,jpg70,4,0.98,0.9757142857142858,-0.004285714285714226,700,0.011428571428571429,2,5
arcface_only,ArcFace-only,jpg70,5,0.9971428571428571,1.0,0.0028571428571428914,700,0.002857142857142857,2,0
arcface_only,ArcFace-only,jpg70,6,0.9928571428571429,0.9842857142857143,-0.008571428571428563,700,0.01,0,6
arcface_only,ArcFace-only,jpg70,7,0.8314285714285714,0.9657142857142857,0.13428571428571434,700,0.1357142857142857,94,0
arcface_only,ArcFace-only,jpg70,8,0.9942857142857143,0.9971428571428571,0.0028571428571427804,700,0.002857142857142857,2,0
arcface_only,ArcFace-only,jpg70,9,0.9771428571428571,0.9871428571428571,0.010000000000000009,700,0.01,7,0
arcface_only,ArcFace-only,blur12,0,0.9914285714285714,0.9971428571428571,0.005714285714285672,700,0.005714285714285714,4,0
arcface_only,ArcFace-only,blur12,1,0.9971428571428571,0.9957142857142857,-0.0014285714285714457,700,0.0014285714285714286,0,1
arcface_only,ArcFace-only,blur12,2,0.9971428571428571,0.9957142857142857,-0.0014285714285714457,700,0.002857142857142857,0,1
arcface_only,ArcFace-only,blur12,3,0.9985714285714286,1.0,0.0014285714285714457,700,0.0014285714285714286,1,0
arcface_only,ArcFace-only,blur12,4,0.98,0.9757142857142858,-0.004285714285714226,700,0.008571428571428572,1,4
arcface_only,ArcFace-only,blur12,5,1.0,1.0,0.0,700,0.0,0,0
arcface_only,ArcFace-only,blur12,6,0.9857142857142858,0.9842857142857143,-0.0014285714285714457,700,0.007142857142857143,1,2
arcface_only,ArcFace-only,blur12,7,0.9485714285714286,0.9657142857142857,0.017142857142857126,700,0.02857142857142857,15,3
arcface_only,ArcFace-only,blur12,8,0.9985714285714286,0.9971428571428571,-0.0014285714285714457,700,0.0014285714285714286,0,1
arcface_only,ArcFace-only,blur12,9,0.9785714285714285,0.9871428571428571,0.008571428571428563,700,0.01,6,0
arcface_only,ArcFace-only,down50,0,0.9971428571428571,0.9971428571428571,0.0,700,0.0,0,0
arcface_only,ArcFace-only,down50,1,0.9971428571428571,0.9957142857142857,-0.0014285714285714457,700,0.0014285714285714286,0,1
arcface_only,ArcFace-only,down50,2,0.9971428571428571,0.9957142857142857,-0.0014285714285714457,700,0.002857142857142857,0,1
arcface_only,ArcFace-only,down50,3,0.9985714285714286,1.0,0.0014285714285714457,700,0.0014285714285714286,1,0
arcface_only,ArcFace-only,down50,4,0.9814285714285714,0.9757142857142858,-0.005714285714285672,700,0.005714285714285714,0,4
arcface_only,ArcFace-only,down50,5,1.0,1.0,0.0,700,0.0,0,0
arcface_only,ArcFace-only,down50,6,0.9871428571428571,0.9842857142857143,-0.0028571428571427804,700,0.004285714285714286,0,2
arcface_only,ArcFace-only,down50,7,0.9542857142857143,0.9657142857142857,0.011428571428571455,700,0.02142857142857143,11,3
arcface_only,ArcFace-only,down50,8,0.9957142857142857,0.9971428571428571,0.0014285714285714457,700,0.0014285714285714286,1,0
arcface_only,ArcFace-only,down50,9,0.9785714285714285,0.9871428571428571,0.008571428571428563,700,0.01,6,0
arcface_only,ArcFace-only,crop80,0,0.9928571428571429,0.9971428571428571,0.004285714285714226,700,0.007142857142857143,4,1
arcface_only,ArcFace-only,crop80,1,0.9942857142857143,0.9957142857142857,0.0014285714285713347,700,0.004285714285714286,2,1
arcface_only,ArcFace-only,crop80,2,0.9914285714285714,0.9957142857142857,0.004285714285714226,700,0.011428571428571429,5,2
arcface_only,ArcFace-only,crop80,3,1.0,1.0,0.0,700,0.0,0,0
arcface_only,ArcFace-only,crop80,4,0.9914285714285714,0.9757142857142858,-0.01571428571428568,700,0.017142857142857144,0,11
arcface_only,ArcFace-only,crop80,5,0.9871428571428571,1.0,0.0128571428571429,700,0.012857142857142857,9,0
arcface_only,ArcFace-only,crop80,6,0.9728571428571429,0.9842857142857143,0.011428571428571455,700,0.02,11,3
arcface_only,ArcFace-only,crop80,7,0.9814285714285714,0.9657142857142857,-0.01571428571428568,700,0.02142857142857143,2,13
arcface_only,ArcFace-only,crop80,8,0.9985714285714286,0.9971428571428571,-0.0014285714285714457,700,0.004285714285714286,1,2
arcface_only,ArcFace-only,crop80,9,0.9471428571428572,0.9871428571428571,0.039999999999999925,700,0.04285714285714286,28,0
ce_arc_60_40,CE+ArcFace 60:40,clean,0,0.9942857142857143,0.9942857142857143,0.0,700,0.0,0,0
ce_arc_60_40,CE+ArcFace 60:40,clean,1,0.9957142857142857,0.9957142857142857,0.0,700,0.0,0,0
ce_arc_60_40,CE+ArcFace 60:40,clean,2,0.9957142857142857,0.9957142857142857,0.0,700,0.0,0,0
ce_arc_60_40,CE+ArcFace 60:40,clean,3,0.9971428571428571,0.9971428571428571,0.0,700,0.0,0,0
ce_arc_60_40,CE+ArcFace 60:40,clean,4,0.9814285714285714,0.9814285714285714,0.0,700,0.0,0,0
ce_arc_60_40,CE+ArcFace 60:40,clean,5,0.9957142857142857,0.9957142857142857,0.0,700,0.0,0,0
ce_arc_60_40,CE+ArcFace 60:40,clean,6,0.9842857142857143,0.9842857142857143,0.0,700,0.0,0,0
ce_arc_60_40,CE+ArcFace 60:40,clean,7,0.9642857142857143,0.9642857142857143,0.0,700,0.0,0,0
