model,display_name,condition,accuracy,clean_accuracy,accuracy_drop,flip_rate,retention_clean_correct,lost_clean_correct,gained_from_clean_wrong,n_correct,n_samples,mean_confidence,mean_entropy,mean_top2_margin
ce_only,CE-only,clean,0.9861428571428571,0.9861428571428571,0.0,0.0,1.0,0,0,6903,7000,0.9692303538322449,0.16775047779083252,0.9572115540504456
ce_only,CE-only,jpg70,0.9697142857142858,0.9861428571428571,0.016428571428571348,0.019571428571428573,0.9820367955961177,124,9,6788,7000,0.9632651805877686,0.18514351546764374,0.9470038414001465
ce_only,CE-only,blur12,0.9775714285714285,0.9861428571428571,0.008571428571428563,0.014571428571428572,0.9885557004201072,79,19,6843,7000,0.9635043740272522,0.18612709641456604,0.9478685259819031
ce_only,CE-only,down50,0.9827142857142858,0.9861428571428571,0.0034285714285713365,0.008714285714285714,0.9940605533825873,41,17,6879,7000,0.9658867120742798,0.1785084456205368,0.9517245888710022
ce_only,CE-only,crop80,0.9834285714285714,0.9861428571428571,0.002714285714285669,0.01757142857142857,0.9897146168332609,71,52,6884,7000,0.9669219255447388,0.17538878321647644,0.9532248377799988
arcface_only,ArcFace-only,clean,0.9898571428571429,0.9898571428571429,0.0,0.0,1.0,0,0,6929,7000,0.9993754625320435,0.0017853607423603535,0.9987715482711792
arcface_only,ArcFace-only,jpg70,0.9754285714285714,0.9898571428571429,0.014428571428571457,0.01814285714285714,0.9838360513782652,112,11,6828,7000,0.9977884888648987,0.005132575985044241,0.9956440925598145
arcface_only,ArcFace-only,blur12,0.9875714285714285,0.9898571428571429,0.0022857142857143353,0.006714285714285714,0.9959590128445663,28,12,6913,7000,0.9985042810440063,0.003659279318526387,0.9971300959587097
arcface_only,ArcFace-only,down50,0.9887142857142858,0.9898571428571429,0.0011428571428571122,0.004857142857142857,0.9972579015730986,19,11,6921,7000,0.9988186955451965,0.0029310155659914017,0.9977537393569946
arcface_only,ArcFace-only,crop80,0.9857142857142858,0.9898571428571429,0.004142857142857115,0.014142857142857143,0.9910520998701111,62,33,6900,7000,0.9985541105270386,0.0034702110569924116,0.997224748134613
ce_arc_60_40,CE+ArcFace 60:40,clean,0.9897142857142858,0.9897142857142858,0.0,0.0,1.0,0,0,6928,7000,0.9992536902427673,0.0016749417409300804,0.9985153675079346
ce_arc_60_40,CE+ArcFace 60:40,jpg70,0.9744285714285714,0.9897142857142858,0.015285714285714347,0.018714285714285715,0.9829676674364896,118,11,6821,7000,0.9983025789260864,0.004427439533174038,0.996714174747467
ce_arc_60_40,CE+ArcFace 60:40,blur12,0.9834285714285714,0.9897142857142858,0.006285714285714339,0.009142857142857144,0.9922055427251733,54,10,6884,7000,0.9985131621360779,0.003455323865637183,0.997089147567749
ce_arc_60_40,CE+ArcFace 60:40,down50,0.9871428571428571,0.9897142857142858,0.002571428571428669,0.006,0.9956697459584296,30,12,6910,7000,0.9991796016693115,0.002269479213282466,0.9983744621276855
ce_arc_60_40,CE+ArcFace 60:40,crop80,0.9862857142857143,0.9897142857142858,0.0034285714285714475,0.013857142857142858,0.9913394919168591,60,36,6904,7000,0.9990220665931702,0.0024330986198037863,0.9980562925338745
ce_arc_20_80,CE+ArcFace 20:80,clean,0.9901428571428571,0.9901428571428571,0.0,0.0,1.0,0,0,6931,7000,0.9989211559295654,0.002627927577123046,0.9978747367858887
ce_arc_20_80,CE+ArcFace 20:80,jpg70,0.9795714285714285,0.9901428571428571,0.010571428571428565,0.014142857142857143,0.9877362573943154,85,11,6857,7000,0.9985039234161377,0.004108678083866835,0.9971156120300293
ce_arc_20_80,CE+ArcFace 20:80,blur12,0.9852857142857143,0.9901428571428571,0.004857142857142782,0.009285714285714286,0.9930745924109076,48,14,6897,7000,0.9981873035430908,0.004103059880435467,0.9964651465415955
ce_arc_20_80,CE+ArcFace 20:80,down50,0.9871428571428571,0.9901428571428571,0.0030000000000000027,0.007285714285714286,0.9949502236329534,35,14,6910,7000,0.9985445737838745,0.0035127366427332163,0.9971219301223755
ce_arc_20_80,CE+ArcFace 20:80,crop80,0.9874285714285714,0.9901428571428571,0.002714285714285669,0.014142857142857143,0.9916317991631799,58,39,6912,7000,0.9986036419868469,0.003457544604316354,0.9972538948059082
